transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes,is_valid,suspicious_amount,is_duplicate,invalid_sender_iban,invalid_receiver_iban,is_future
1b5a870b-db8b-46f6-ab2d-b452fbb1a04e,2026-03-05 07:20:00,4669.37,SEK,SE8902ZZJJ01114055756075,SE8902SWUO93445136998779,Sweden,Sandviken,Sweden,Borlänge,incoming,Freelance project payment,True,False,False,False,False,True
26351bef-2cb1-46b6-891b-c6c98b41901a,2025-11-16 11:26:00,9221.77,SEK,SE8902IGJG42825638310983,SE8902QHUH19874587550707,Sweden,Karlstad,Sweden,Sundsvall,incoming,Utility bill,True,False,False,False,False,True
45af305a-0822-4e92-ab47-842abd9b4098,2025-07-06 23:47:00,17812.33,SEK,SE8902UDED11242220219330,SE8902IOSH72112913547339,Sweden,Karlskrona,Sweden,Ängelholm,outgoing,,True,False,False,False,False,True
e3eb5932-595d-426b-9a6d-9235718b0d7c,2025-07-15 04:44:00,19996.02,SEK,SE8902WRYQ08007617557527,SE8902SPJM60038922234992,Sweden,Varberg,Sweden,Göteborg,outgoing,Freelance project payment,True,False,False,False,False,True
eed6c6a8-cbc3-411b-a768-5cb7a80f7581,2025-12-18 08:29:00,39746.22,SEK,SE8902ZUIH32054423564254,SE8902WLVP30891623838570,Sweden,Uppsala,Sweden,Eskilstuna,outgoing,Loan repayment,True,False,False,False,False,True
d09bf51c-3e81-417a-aa6f-f95037bca0e5,2025-11-07 05:41:00,16764.73,SEK,SE8902KDSG83463231121147,SE8902YVHJ42522156401912,Sweden,Jönköping,Sweden,Borås,outgoing,Reimbursement for travel,True,False,False,False,False,True
fbcb9c12-1de8-491e-970d-05e6444eca08,2026-01-31 15:01:00,31838.43,SEK,SE8902XPGP64746722412276,SE8902OEXR07690449901329,Sweden,Jönköping,Sweden,Kalmar,outgoing,Utility bill,True,False,False,False,False,True
f26ef2e9-dbd3-497a-8bae-c3ed35ed37ce,2025-07-19 07:16:00,9414.08,SEK,SE8902BQNQ69176231619922,SE8902DXFF41444891693538,Sweden,Eskilstuna,Sweden,Alingsås,incoming,Rent transfer,True,False,False,False,False,True
82406135-1225-41f8-93cf-e94bdbb95eb8,2025-06-03 20:34:00,19244.54,SEK,SE8902AXXW50050624980139,SE8902UMVZ90861687703651,Sweden,Umeå,Sweden,Uppsala,incoming,Consulting fee,True,False,False,False,False,True
5cd62eb6-1a23-4025-bee4-6814c667f0bb,2026-01-24 01:12:00,27159.91,SEK,SE8902PSDU01157140348454,SE8902SHWL66579301942519,,Varberg,Sweden,Trollhättan,incoming,,True,False,False,False,False,True
b418c50e-16d4-4ded-8c1e-27d621e91dff,2025-07-28 14:52:00,1458.56,SEK,SE8902MEUJ12583052373274,SE8902FCSW95176136252838,Sweden,Varberg,Sweden,Uddevalla,incoming,Insurance payout,True,False,False,False,False,True
eb687ce8-b80b-4f9e-b90e-f1d25d013210,2026-03-06 02:42:00,41863.9,SEK,SE8902HPKQ79721411987869,SE8902DKDV39301644618937,Sweden,Trelleborg,Sweden,Gävle,incoming,Payment for invoice #8255,True,False,False,False,False,True
